"","id","qid1","qid2","question1","question2","is_duplicate"
"713",712,1420,1421,"What behavioral adaptations do pandas have?","What behavioral adaptations do red pandas have?",0
"1000",999,1993,1994,"What is a good song for lyric prank?","Diving the Blue Hole in Dahab?",0
"1136",1135,2262,2263,"What is the difference between growth and development?","How do growth and development contrast?",0
"1172",1171,2334,2335,"Have you ever encountered any alien? Please be true.Do not make a story.","Have you encountered an alien? What happened?",1
"1179",1178,2348,2349,"What is the (true) nature of reality?","What is the ultimate truth that no one can deny?",0
"1296",1295,2582,2583,"Why is Hansie Cronje the greatest ever South African captain?","What is it like to be a white South African?",0
"1442",1441,2870,2871,"In terms of reputation, can McGill University compare with the Ivy league?","How much does it cost to fund Ivy League degree?",0
"2046",2045,4069,4070,"The first term of a geometric sequence is 16 and the fifth term is 9. What is the value of the seventh term?","The sum of the first n terms of an AP is 153, common difference is 2. If the first term is an integer then what is number of possible values of n?",0
"3021",3020,5989,5990,"Why does Dushka Zapata have a story about EVERYTHING? Are they all true?","How does Dushka Zapata have so many stories to tell?",1
"3071",3070,6087,6088,"Is the lift on ban of Jallikattu (Tamil Nadu's bull taming sport) justified?","What's so special about tamil nadu alanganallur jallikattu?",0
"3854",3853,7631,7632,"What is most embrassing moment of your life?","What are the most embarassing moment in life?",1
"3859",3858,7641,7642,"Why should i believe in astrology?","Do you believe in horoscopes?",1
"4635",4634,9153,9154,"Why does Saudi Arabia enforce such harsh punishments for drug trafficking?","Why is Saudi Arabia lowering the price of crude oil?",0
"4912",4911,9691,9692,"How is the word 'education' used in a sentence?","How is the word ""obstinate"" used in a sentence?",0
"4953",4952,9767,9768,"What would be next strike from PM Modi after Demonetisation?","What will be the next move by PM Modi to improve India?",1
"4980",4979,9820,9821,"What is the difference between a monarch, an emperor, and a dictator?","What is the difference between monarch and monarchy?",0
"5176",5175,10196,10197,"Why are Syrian refugees going to Europe?","Why are refugees going to Europe?",1
"5832",5831,11450,11451,"Why was January first chosen to be the first day of the year?","When and why was the 1st of January declared as the first day of the year?",1
"6243",6242,12237,12238,"Is wine good for the health?","How wine is good for health?",1
"6566",6565,12855,12856,"What is one sided love for you?","What is one-sided love?",0
"6710",6709,13134,13135,"Who would win in a fight between Darth Vader and Kylo Ren?","Did Kylo Ren wear a mask because it was First Order uniform or because he was an insecure Vader wannabe?",0
"7167",7166,14010,14011,"What is the reason behind voltage and current having different phase in AC circuits?","What is the reason behind main supply outputting 240 V AC (or 110-120 V)? Is there a specific reason or advantage that this specific voltage has over perhaps other values?",0
"7271",7270,14207,14208,"How does a minor who is the owner of a LLC appoint a officer capable of creating a Bank account for the LLC?","CAN A MINOR BE PARTNERS in AN LLC AND How TO OPEN the ACCOUNT through the BANK?",1
"7428",7427,14510,14511,"What is the difference between the prior and the posterior in statistics?","What is the difference between statistics and stochastic?",0
